"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2013","1,906.62","1,914.06","1,914.06","1,895.87","294.65M","-0.50%"
"Aug 07, 2013","1,878.33","1,892.47","1,895.50","1,878.33","312.43M","-1.48%"
"Aug 08, 2013","1,883.97","1,884.58","1,896.07","1,879.13","338.17M","0.30%"
"Aug 09, 2013","1,880.71","1,884.57","1,888.79","1,876.07","283.48M","-0.17%"
"Aug 12, 2013","1,884.83","1,878.50","1,894.42","1,878.33","297.51M","0.22%"
"Aug 13, 2013","1,913.03","1,893.42","1,913.03","1,890.78","362.60M","1.50%"
"Aug 14, 2013","1,923.91","1,912.59","1,925.10","1,908.92","363.32M","0.57%"
"Aug 16, 2013","1,920.11","1,903.72","1,927.59","1,901.70","348.50M","-0.20%"
"Aug 19, 2013","1,917.64","1,917.32","1,918.71","1,909.80","302.12M","-0.13%"
"Aug 20, 2013","1,887.85","1,910.30","1,923.42","1,885.93","350.35M","-1.55%"
"Aug 21, 2013","1,867.46","1,891.01","1,894.74","1,863.60","411.24M","-1.08%"
"Aug 22, 2013","1,849.12","1,847.94","1,858.50","1,838.52","425.95M","-0.98%"
"Aug 23, 2013","1,870.16","1,861.58","1,876.14","1,854.67","374.96M","1.14%"
"Aug 26, 2013","1,887.86","1,876.59","1,890.38","1,876.59","316.30M","0.95%"
"Aug 27, 2013","1,885.84","1,883.71","1,896.63","1,881.44","409.26M","-0.11%"
"Aug 28, 2013","1,884.52","1,862.51","1,885.35","1,861.56","378.29M","-0.07%"
"Aug 29, 2013","1,907.54","1,892.03","1,914.90","1,891.59","301.70M","1.22%"
"Aug 30, 2013","1,926.36","1,918.91","1,926.37","1,910.37","300.93M","0.99%"
"Sep 02, 2013","1,924.81","1,925.32","1,932.46","1,921.01","243.99M","-0.08%"
"Sep 03, 2013","1,933.74","1,934.24","1,940.99","1,928.09","300.06M","0.46%"
"Sep 04, 2013","1,933.03","1,929.60","1,938.26","1,921.93","284.19M","-0.04%"
"Sep 05, 2013","1,951.65","1,943.66","1,954.21","1,937.82","286.74M","0.96%"
"Sep 06, 2013","1,955.31","1,954.11","1,962.15","1,949.01","324.99M","0.19%"
"Sep 09, 2013","1,974.67","1,964.09","1,974.67","1,962.62","270.74M","0.99%"
"Sep 10, 2013","1,994.06","1,978.08","1,994.06","1,974.59","264.33M","0.98%"
"Sep 11, 2013","2,003.85","1,995.96","2,003.85","1,987.40","299.41M","0.49%"
"Sep 12, 2013","2,004.06","2,004.67","2,017.48","1,995.16","359.26M","0.01%"
"Sep 13, 2013","1,994.32","1,994.95","2,004.87","1,992.26","253.92M","-0.49%"
"Sep 16, 2013","2,013.37","2,011.69","2,018.02","2,004.45","248.50M","0.96%"
"Sep 17, 2013","2,005.58","2,009.31","2,009.31","1,994.31","264.66M","-0.39%"
"Sep 23, 2013","2,009.41","2,000.72","2,015.18","1,994.77","249.54M","0.19%"
"Sep 24, 2013","2,007.10","2,001.51","2,011.11","1,990.36","309.36M","-0.11%"
"Sep 25, 2013","1,998.06","2,004.53","2,006.88","1,988.87","294.75M","-0.45%"
"Sep 26, 2013","2,007.32","1,992.10","2,007.32","1,991.10","255.55M","0.46%"
"Sep 27, 2013","2,011.80","2,012.26","2,016.34","2,008.25","282.34M","0.22%"
"Sep 30, 2013","1,996.96","2,002.02","2,005.41","1,994.22","292.78M","-0.74%"
"Oct 01, 2013","1,998.87","1,997.62","2,012.52","1,991.22","281.27M","0.10%"
"Oct 02, 2013","1,999.47","2,012.07","2,012.82","1,999.02","238.25M","0.03%"
"Oct 04, 2013","1,996.98","1,999.92","2,004.65","1,985.63","241.07M","-0.12%"
"Oct 07, 2013","1,994.42","1,997.17","2,002.61","1,991.02","249.77M","-0.13%"
"Oct 08, 2013","2,002.76","1,987.97","2,002.78","1,981.21","329.57M","0.42%"
"Oct 10, 2013","2,001.40","2,000.91","2,010.00","1,997.66","222.68M","-0.07%"
"Oct 11, 2013","2,024.90","2,018.01","2,028.11","2,012.66","254.29M","1.17%"
"Oct 14, 2013","2,020.27","2,026.07","2,026.79","2,019.65","220.74M","-0.23%"
"Oct 15, 2013","2,040.96","2,034.69","2,045.50","2,033.84","233.62M","1.02%"
"Oct 16, 2013","2,034.61","2,040.03","2,049.50","2,033.75","267.49M","-0.31%"
"Oct 17, 2013","2,040.61","2,051.19","2,052.44","2,035.96","306.92M","0.29%"
"Oct 18, 2013","2,052.40","2,046.56","2,052.40","2,041.36","257.59M","0.58%"
"Oct 21, 2013","2,053.01","2,054.16","2,060.18","2,047.83","281.93M","0.03%"
"Oct 22, 2013","2,056.12","2,051.01","2,056.12","2,045.45","378.78M","0.15%"
"Oct 23, 2013","2,035.75","2,062.81","2,063.28","2,035.75","367.99M","-0.99%"
"Oct 24, 2013","2,046.69","2,034.96","2,046.69","2,027.93","254.85M","0.54%"
"Oct 25, 2013","2,034.39","2,047.46","2,047.46","2,023.82","234.84M","-0.60%"
"Oct 28, 2013","2,048.14","2,037.28","2,048.14","2,030.90","257.53M","0.68%"
"Oct 29, 2013","2,051.76","2,046.67","2,053.78","2,039.46","307.65M","0.18%"
"Oct 30, 2013","2,059.58","2,055.00","2,059.58","2,043.93","263.43M","0.38%"
"Oct 31, 2013","2,030.09","2,050.96","2,055.59","2,030.09","254.50M","-1.43%"
"Nov 01, 2013","2,039.42","2,037.25","2,041.23","2,030.57","294.19M","0.46%"
"Nov 04, 2013","2,025.17","2,035.08","2,035.84","2,022.91","235.24M","-0.70%"
"Nov 05, 2013","2,013.93","2,027.62","2,029.60","2,010.20","257.82M","-0.56%"
"Nov 06, 2013","2,013.67","2,015.32","2,023.52","2,011.41","273.69M","-0.01%"
"Nov 07, 2013","2,004.04","2,014.85","2,017.55","2,000.60","310.95M","-0.48%"
"Nov 08, 2013","1,984.87","1,987.21","1,998.59","1,984.86","287.31M","-0.96%"
"Nov 11, 2013","1,977.30","1,995.86","1,995.86","1,973.05","286.22M","-0.38%"
"Nov 12, 2013","1,995.48","1,983.94","2,000.41","1,983.89","247.36M","0.92%"
"Nov 13, 2013","1,963.56","1,993.16","1,993.16","1,963.56","251.54M","-1.60%"
"Nov 14, 2013","1,967.56","1,980.20","1,981.89","1,963.42","323.11M","0.20%"
"Nov 15, 2013","2,005.64","1,980.99","2,006.31","1,980.99","264.69M","1.94%"
"Nov 18, 2013","2,010.81","2,014.24","2,018.17","2,009.76","313.97M","0.26%"
"Nov 19, 2013","2,031.64","2,009.95","2,033.91","2,009.47","402.80M","1.04%"
"Nov 20, 2013","2,017.24","2,028.34","2,029.61","2,010.74","334.80M","-0.71%"
"Nov 21, 2013","1,993.78","2,013.71","2,013.71","1,985.65","292.67M","-1.16%"
"Nov 22, 2013","2,006.23","2,002.15","2,011.20","1,992.48","350.98M","0.62%"
"Nov 25, 2013","2,015.98","2,020.00","2,031.11","2,015.98","295.51M","0.49%"
"Nov 26, 2013","2,022.64","2,008.19","2,022.66","1,998.90","275.31M","0.33%"
"Nov 27, 2013","2,028.81","2,016.28","2,028.81","2,010.84","284.08M","0.31%"
"Nov 28, 2013","2,045.77","2,039.73","2,047.66","2,037.73","276.27M","0.84%"
"Nov 29, 2013","2,044.87","2,044.85","2,050.70","2,038.46","245.37M","-0.04%"
"Dec 02, 2013","2,030.78","2,050.45","2,052.88","2,029.10","229.69M","-0.69%"
"Dec 03, 2013","2,009.36","2,023.62","2,028.07","2,008.55","294.95M","-1.05%"
"Dec 04, 2013","1,986.80","1,998.69","2,006.71","1,986.80","230.33M","-1.12%"
"Dec 05, 2013","1,984.77","1,993.73","1,994.32","1,971.44","217.67M","-0.10%"
"Dec 06, 2013","1,980.41","1,982.99","1,990.55","1,980.40","201.90M","-0.22%"
"Dec 09, 2013","2,000.38","2,000.52","2,003.97","1,997.58","230.27M","1.01%"
"Dec 10, 2013","1,993.45","2,000.03","2,001.33","1,989.41","200.96M","-0.35%"
"Dec 11, 2013","1,977.97","1,987.22","2,000.15","1,972.87","231.37M","-0.78%"
"Dec 12, 2013","1,967.93","1,966.44","1,970.51","1,958.99","255.08M","-0.51%"
"Dec 13, 2013","1,962.91","1,963.04","1,963.81","1,947.44","234.10M","-0.26%"
"Dec 16, 2013","1,961.15","1,960.60","1,970.25","1,956.63","213.51M","-0.09%"
"Dec 17, 2013","1,965.74","1,977.94","1,979.62","1,962.22","253.89M","0.23%"
"Dec 18, 2013","1,974.63","1,971.85","1,982.42","1,966.18","258.66M","0.45%"
"Dec 19, 2013","1,975.65","1,996.79","1,997.02","1,969.95","255.82M","0.05%"
"Dec 20, 2013","1,983.35","1,973.12","1,984.44","1,972.59","247.06M","0.39%"
"Dec 23, 2013","1,996.89","1,993.45","2,000.07","1,989.00","223.00M","0.68%"
"Dec 24, 2013","2,001.59","2,000.24","2,007.34","1,994.34","214.69M","0.24%"
"Dec 26, 2013","1,999.30","2,004.25","2,009.96","1,997.34","230.53M","-0.11%"
"Dec 27, 2013","2,002.28","1,994.05","2,004.55","1,987.58","207.77M","0.15%"
"Dec 30, 2013","2,011.34","2,004.32","2,011.34","1,998.61","172.23M","0.45%"
"Dec 31, 2013","2,011.34","2,004.32","2,011.34","1,998.61","172.23K","0.00%"
"Jan 02, 2014","1,967.19","2,013.11","2,013.89","1,967.19","207.77M","-2.20%"
"Jan 03, 2014","1,946.14","1,963.72","1,964.63","1,936.15","188.53M","-1.07%"
"Jan 06, 2014","1,953.28","1,947.62","1,961.85","1,943.74","193.63M","0.37%"
"Jan 07, 2014","1,959.44","1,947.65","1,965.74","1,947.08","193.03M","0.32%"
"Jan 08, 2014","1,958.96","1,965.50","1,966.95","1,950.02","217.07M","-0.02%"
"Jan 09, 2014","1,946.11","1,962.30","1,964.59","1,946.11","276.40M","-0.66%"
"Jan 10, 2014","1,938.54","1,949.53","1,956.97","1,931.16","262.99M","-0.39%"
"Jan 13, 2014","1,948.92","1,947.38","1,954.07","1,942.83","267.94M","0.54%"
"Jan 14, 2014","1,946.07","1,942.79","1,961.73","1,939.31","244.06M","-0.15%"
"Jan 15, 2014","1,953.28","1,956.43","1,956.84","1,945.87","250.87M","0.37%"
"Jan 16, 2014","1,957.32","1,957.91","1,965.27","1,955.79","379.57M","0.21%"
"Jan 17, 2014","1,944.48","1,958.50","1,962.64","1,943.13","260.91M","-0.66%"
"Jan 20, 2014","1,953.78","1,945.99","1,955.28","1,934.38","279.53M","0.48%"
"Jan 21, 2014","1,963.89","1,955.26","1,965.43","1,949.56","289.33M","0.52%"
"Jan 22, 2014","1,970.42","1,960.46","1,970.42","1,959.57","243.86M","0.33%"
"Jan 23, 2014","1,947.59","1,968.77","1,969.04","1,947.01","229.38M","-1.16%"
"Jan 24, 2014","1,940.56","1,941.55","1,947.01","1,924.49","279.24M","-0.36%"
"Jan 27, 2014","1,910.34","1,905.91","1,918.68","1,899.76","340.43M","-1.56%"
"Jan 28, 2014","1,916.93","1,907.18","1,919.26","1,904.05","270.50M","0.34%"
"Jan 29, 2014","1,941.15","1,925.93","1,941.71","1,925.52","219.93M","1.26%"
"Feb 03, 2014","1,919.96","1,930.09","1,931.81","1,917.64","229.65M","-1.09%"
"Feb 04, 2014","1,886.85","1,894.96","1,898.08","1,885.53","250.98M","-1.72%"
"Feb 05, 2014","1,891.32","1,897.95","1,901.40","1,888.47","244.03M","0.24%"
"Feb 06, 2014","1,907.89","1,897.35","1,910.91","1,897.35","259.44M","0.88%"
"Feb 07, 2014","1,922.50","1,922.45","1,923.25","1,910.90","272.96M","0.77%"
"Feb 10, 2014","1,923.30","1,928.13","1,928.39","1,916.40","207.96M","0.04%"
"Feb 11, 2014","1,932.06","1,924.45","1,935.29","1,920.55","226.38M","0.46%"
"Feb 12, 2014","1,935.84","1,942.23","1,942.23","1,933.54","225.37M","0.20%"
"Feb 13, 2014","1,926.96","1,936.62","1,944.73","1,924.39","187.86M","-0.46%"
"Feb 14, 2014","1,940.28","1,930.14","1,946.81","1,930.14","216.59M","0.69%"
"Feb 17, 2014","1,946.36","1,951.74","1,955.04","1,942.94","215.47M","0.31%"
"Feb 18, 2014","1,946.91","1,946.88","1,951.06","1,935.60","200.45M","0.03%"
"Feb 19, 2014","1,942.93","1,944.70","1,944.70","1,932.44","213.56M","-0.20%"
"Feb 20, 2014","1,930.57","1,932.90","1,941.13","1,927.53","232.32M","-0.64%"
"Feb 21, 2014","1,957.83","1,948.03","1,957.83","1,946.68","216.32M","1.41%"
"Feb 24, 2014","1,949.05","1,958.06","1,961.41","1,943.86","193.81M","-0.45%"
"Feb 25, 2014","1,964.86","1,958.30","1,964.86","1,955.70","226.04M","0.81%"
